"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured.Start.Date","Occured.End.Date","Occured.Start.Time","Occured.End.Time","Stand_inc"
"1305","Information","1414 E. 59th St. ","I-House","5/10/2015","0:38","Individual transported to ER for evaluation and treatment","Closed","E00293","5/10/2015",NA,"0:38",NA,"MEDICAL INCIDENT"
"1306","Information","5758 S. Maryland ","DCAM","7/9/2016","11:41","Investigation of suspicious telephone calls","Open","16-00583","7/6/2016","7/9/2016","16:25","7:30","OTHER"
"1307","Information","5530 S. Ellis ","Ratner A.C.","8/21/2015","2:26","Contract supervisor reported an employee made veiled threats after being disciplined","Closed","E00515","8/21/2015",NA,"0:00",NA,"OTHER"
"1308","Information","5555 S. Woodlawn ","Student Health","4/14/2016","16:36","Report of suspicious phone call received by a staff member","Closed","16-00311","4/14/2016",NA,"16:00",NA,"OTHER"
"1309","Information","950 E. 59th St. ","Billings Hospital","9/13/2017","11:59","Unknown person attempted to use physician's DEA number to purchase controlled drugs / DEA investigating","DEA","17-00761","9/12/2017",NA,"18:00",NA,"NARCOTICS"
"1310","Information","5815 S. Maryland ","Mitchell Hospital","1/16/2017","15:21","2 former staff members took hospital issued iPads when they left their place of employment","Open","17-00050","10/5/2016","12/1/2016","8:00","8:00","OTHER"
"1311","Information","1307 E. 60th St. ","New Graduate Res. Hall","7/18/2014","9:52","Person fell on front steps of building due to broken concrete and scraped right knee / Declined medical attention / Facilities notified of defect on steps","Closed","D00673","7/17/2014",NA,"17:00",NA,"MEDICAL INCIDENT"
"1312","Information","1116 E. 59th St. ","Harper Library","1/29/2016","16:44","Offensive and inappropriate words scrawled with chalk on blackboard in room 145","Closed","16-00106","1/28/2016",NA,"17:15",NA,"OTHER"
"1313","Information","5700 S. Maryland ","CCD","10/15/2017","11:09","Patient reported being struck by a staff member / CPD case JA471966","CPD","17-00887","10/11/2017",NA,"10:25",NA,"BATTERY"
"1314","Information","5800 S. Stony Island ","Public Way","9/22/2015","15:52","Staff member directing traffic in front of Shapiro School was struck by a vehicle that drove off southbound on Stony Island / Victim refused medical attention / CPD case","CPD","E00583","9/22/2015",NA,"14:15",NA,"ACCIDENT"
"1315","Information","5758 S. Maryland ","DCAM","6/9/2014","16:43","Staff member reports an unknown individual picking up a patient outside of the hospital had a handgun holstered at his side / The individual did not menace anyone or display the weapon","Closed","D00547","6/9/2014",NA,"16:30",NA,"OTHER"
"1316","Information","5700 S. Maryland ","CCD","11/9/2016","16:09","Staff member and patient involved in minor altercation / Previously reported to CPD","CPD","16-01000","11/7/2016",NA,"19:00",NA,"OTHER"
"1317","Information","5501 S. Cottage Grove",NA,"3/17/2014","20:46","Mentally disturbed patient fled UCM ER / Located and returned to ER by UCPD officers","Closed","D00262","3/17/2014",NA,"20:46",NA,"OTHER"
"1318","Information","5828 S. University ","Pick Hall","5/24/2017","13:27","Information relating to a suspicious, non-threatening letter","Closed","17-00427","5/24/2017",NA,"13:27",NA,"OTHER"
"1319","Information","Greenwood between 53rd & 54th",NA,"2/16/2016","2:30","Couple, who had previously dated, claim email and telephone harassment by the other","Referred","16-00154","2/16/2016",NA,"2:30",NA,"OTHER"
"1320","Information","6025 S. Ellis ","Cathey Dining Hall","2/3/2017","9:44","Disgruntled contract employee voiced threats to co-workers","Closed","17-00098","2/2/2017",NA,"20:30",NA,"OTHER"
"1321","Information","970 E. 58th St.",NA,"10/7/2017","12:51","Individual reported being bitten on the hand by a dog he tried to pet / Transported to ER for evaluation and treatment","Closed","17-00851","10/7/2017",NA,"12:10",NA,"OTHER"
"1322","Information","5700 S. Maryland ","CCD","8/10/2016","11:49","Individual reports disturbing cell phone messages from a friend","Closed","16-00681","8/10/2016",NA,"10:55",NA,"OTHER"
"1323","Information","5550 S. University ","Crown Field House","2/18/2017","14:01","Bag taken from secured locker in men's locker room and found, intact, in another location in the room","Closed","17-00140","2/18/2017",NA,"12:40","14:00","OTHER"
"1324","Information","5840 S. Maryland ","Parking Structure","4/18/2017","10:01","Door of parked vehicle slightly dented when driver of adjacent vehicle opened door and struck the car","Closed","17-00311","4/18/2017",NA,"9:00",NA,"OTHER"
"1325","Information","850 E. 61st St. ","UCPD HQ","5/26/2017",NA,"Information relating to a posting on a social media site","Open","17-00437","5/25/2017",NA,"17:15",NA,"OTHER"
"1326","Information","5807 S. Woodlawn ","Booth School","12/6/2016","21:19","Nine anti-racist posters were found on bulletin boards and elevators in the building / Removed by UC employees","Closed","16-01093","12/6/2016",NA,"13:00",NA,"OTHER"
"1327","Information","5800 S. Stony Island ","Public Way","5/18/2015","13:47","Delayed report of a suspicious individual","Closed","E00318","5/15/2015",NA,"16:00",NA,"OTHER"
"1328","Information","817 E. 61st St.",NA,"4/6/2016","20:10","Individual told UCPD officer two unknown individuals had been following him off-campus and he feared for his safety / Suspects fled and dropped a replica handgun when officer approached / Suspects made good their escape","Closed","16-00283","4/6/2016",NA,"20:10",NA,"WEAPON"
"1329","Information","860 E. 59th St. ","Goldblatt","3/24/2016","10:42","Staff member reported a suspicious, unintelligible phone call","Closed","16-00246","3/23/2016",NA,"16:05",NA,"OTHER"
"1330","Information","5821 S. Drexel ","Peck Pavilion","9/3/2017","7:14","Staff members observed mist in room N661 / CFD and Safety responded / Determined mist was steam from a defective pipe / No hazardous material","Closed","17-00734","9/3/2017",NA,"9:00",NA,"OTHER"
"1331","Information","6300 S. Woodlawn",NA,"2/21/2018","11:46","Individual documented a confrontation with a known subject off campus","Closed","18-00175","2/20/2018",NA,"15:45",NA,"OTHER"
"1332","Information","1101 E. 58th St. ","Rosenwald","1/10/2014","16:53","Water leaked through the ceiling of two rooms on the 3rd floor causing damage to the ceiling and flooding on the floor / Facilities Dept. on the scene","Closed","D00022","1/10/2014",NA,"16:50",NA,"UTILITY INCIDENT"
"1333","Information","1442 E. 59th St. ","Breckinridge","5/3/2015","12:56","Staff member reported a rope tied in the form of a noose was found hanging from a light fixture in first floor housekeeping closet","Open","E00280","5/2/2015",NA,"10:00",NA,"OTHER"
"1334","Information","5615 S. University ","Frat House","9/22/2014","3:33","Individual reported he was pushed to the floor by an unknown person while attending a party at a fraternity house","Closed","D00823","9/22/2014",NA,"2:15",NA,"OTHER"
"1335","Information","University between 56th & 57th",NA,"2/11/2018","12:54","Information regarding a party at off campus location","Closed","18-00142","2/10/2018","2/11/2018","21:00","1:00","OTHER"
"1336","Information","5700 S. Drexel",NA,"3/23/2014","20:45","UCPD officers arrested a robbery suspect / Ref. D00278 3/22/14","Arrest","D00281","3/23/2014",NA,"20:45",NA,"OTHER"
"1337","Information","6031 S. Ellis ","SCRH","3/26/2014","0:16","Individual created a disturbance when denied access to residence hall / Peace restored","Closed","D00283","3/26/2014",NA,"0:05",NA,"DISTURBANCE"
"1338","Information","5811 S. Ellis ","Cobb Hall","4/6/2014","20:29","Fire alarm triggered by broken steam line in basement / CFD and UC Facilities responded","Closed","D00323","4/6/2014",NA,"20:29",NA,"OTHER"
"1339","Information","52nd St. between Greenwood & University ","Public Way","11/17/2015","3:56","Individual reported while walking on the sidewalk off campus two unknown suspects, one implying a weapon (no weapon seen), demanded property / Complainant fled / No injuries reported / No property loss / Refused to file a formal police report","","","11/17/2015",NA,"3:45",NA,"OTHER"
"1340","Information","850 E. 61st St. ","UCPD HQ","7/27/2017","13:34","Report of a suspicious email message","Closed","17-00620","7/25/2017",NA,"17:00",NA,"OTHER"
"1341","Information","5550 S. University ","Crown Field House","9/23/2014","6:20","Suspicious note found in building turned over to UCPD","Closed","D00829","9/22/2014","9/23/2014","7:00","2:00","OTHER"
"1342","Information","1116 E. 59th St. ","Harper","5/16/2014","20:50","Two male subjects were observed on University property loitering by bicycle racks / Individuals were issued warning not to trespass on University property","Closed","D00450","5/16/2014",NA,"20:50",NA,"TRESPASS"
"1343","Information","5300 S. Kimbark",NA,"2/7/2016","10:56","Unknown subject approached individual while walking on the sidewalk off-campus and asked if he could carry the individual's bag and extended his hand / Individual ran but was not followed","Closed","16-00137","2/5/2016",NA,"23:45",NA,"OTHER"
"1344","Information","Harper between 54th & 55th",NA,"11/18/2017","9:47","Report concerning email messages received from a known individual","Closed","17-01037","11/16/2017","11/17/2017","20:10","18:45","OTHER"
"1345","Information","6202 S. Kimbark",NA,"7/9/2016","20:31","Officer reports body-worn camera damaged when it fell to the ground","Closed","16-00585","7/8/2016",NA,NA,NA,"OTHER"
"1346","Information","5758 S. Maryland ","DCAM","3/13/2014","10:07","Unknown person used UCM DEA control number in an unsuccessful attempt to obtain controlled substance / CPD case","CPD","D00248","2/22/2014",NA,"0:00","23:55","NARCOTICS"
"1347","Information","5800 S. Greenwood ","Main Quad","7/31/2014","21:18","Child bitten on arm by leashed dog / Victim and parent transported to Comer Hospital for treatment / Pet's owner provided necessary information","Closed","D00706","7/31/2014",NA,"21:18",NA,"MEDICAL INCIDENT"
"1348","Information","Hyde Park between 53rd & 54th",NA,"11/17/2015","16:59","Individual received threats from an acquaintance via social media","Open","E00771","11/16/2015",NA,"21:05",NA,"OTHER"
"1349","Information","1100 E. 58th St. ","Ryerson","5/12/2015","12:00","Report of suspicious activity","Open","E00301","4/30/2015","5/5/2015","18:00","8:00","OTHER"
"1350","Information","6054 S. Drexel ","Parking Structure","5/20/2016","14:09","Computer cover missing from UC owned vehicle","Closed","16-00426","5/19/2016","5/20/2016","7:00","8:35","OTHER"
"1351","Information","1100 E. 57th St. ","Public Way","8/3/2014","13:43","Intoxicated individual standing in the street with a bottle of alcoholic beverage was issued a citation and transported to the ER for evaluation","Closed","D00713","8/3/2014",NA,"13:43",NA,"LIQUOR LAW VIOLATION"
"1352","Information","1010 E. 59th St.",NA,"5/9/2014","8:55","A woman was struck by a vehicle while crossing the street / Victim walked to ER for evaluation and treatment / CPD report HX254535","CPD","D00418","5/9/2014",NA,"8:45",NA,"ACCIDENT"
"1353","Information","1100 E. 58th St. ","Ryerson 5th floor","2/18/2014","22:29","UCPD and CFD responded to a fire alarm found pull box activated / False alarm, no fire","Closed","D00174","2/18/2014",NA,"22:29",NA,"OTHER"
"1354","Information","5720 S. Ellis ","Kersten Physics","12/19/2017","10:36","Staff members report there are signs that unknown and unauthorized person or persons had been in the building after hours","Open","17-01139","12/18/2017","12/19/2017","21:00","5:30","OTHER"
"1355","Information","Ingleside between 54th & 55th",NA,"2/2/2014","19:09","Off campus dispute between mother and daughter / Peace restored","Closed","D00107","2/2/2014",NA,"18:30",NA,"OTHER"
"1356","Information","6031 S. Ellis ","Granville Grossman RH","8/26/2017","17:30","Information regarding a social media posting","Closed","17-00716","8/25/2017",NA,"20:35",NA,"OTHER"
"1357","Information","1444 E. 57th St.",NA,"6/4/2014","13:40","Traffic accident / Property damage only / CPD report HX289500","CPD","D00522","6/4/2014",NA,"12:00",NA,"ACCIDENT"
"1358","Information","1100 E. 57th St. ","Regenstein Library","3/31/2014","9:32","Six books missing from a parcel shipped from Germany to an individual at the library","Closed","D00300","3/5/2014","3/24/2014","0:00","15:00","OTHER"
"1359","Information","5625 S. University ","Fraternity House","6/1/2014","13:15","Safety concern of hammock being used on second floor exterior landing / Hammock removed","Closed","D00510","6/1/2014",NA,"13:15",NA,"OTHER"
"1360","Information","1111 E. 60th St. ","Law School Bike Rack","1/12/2018","14:32","Individual reported his bicycle was taken from the bike rack, but later located the bike / No theft occurred","Closed","18-00047","1/11/2018","1/12/2018","16:00","12:30","OTHER"
"1361","Information","5700 S. Maryland ","CCD","4/1/2014","13:22","Cash missing from patient valuables envelope / Investigation by UCM","Closed","D00303","3/29/2014","3/30/2014","16:45","16:55","OTHER"
"1362","Information","5735 S. Ellis ","Searle Lab","2/6/2018","23:33","Water leak observed inside main entrance / Believed to originate from broken water pipe inside wall / Facilities Services on scene","Closed","18-00128","2/6/2018",NA,"23:33",NA,"UTILITY INCIDENT"
"1363","Information","6045 S. Kenwood ","Toyota Tech. Inst.","8/26/2014","10:36","Harassing email messages from an acquaintance","Closed","D00764","8/25/2014","8/26/2014","22:45","10:25","OTHER"
"1364","Information","850 E. 61st St ","UCPD HQ","11/11/2017","10:54","Individual received a telephone call alleging the kidnapping of a relative / UCPD determined alleged victim was safe and the call was a deception","Closed","17-01017","11/11/2017",NA,"10:54",NA,"OTHER"
"1365","Information","5730 S. Drexel ","Comer Hospital","8/3/2017","21:28","Public Safety Officers located and returned patient to hospital to complete treatment for injury","Closed","17-00643","8/3/2017",NA,"21:28",NA,"OTHER"
"1366","Information","6030 S. Ellis ","Edelstone","5/1/2015","7:02","Elevator oil pump malfunctioned causing gas-like odor in building / CFD, UC Environmental Safety, and Facilities responded / Occupants briefly evacuated from building / No injuries reported","Closed","E00276","5/1/2015",NA,"7:02",NA,"UTILITY INCIDENT"
