"","Incident","Location","Reported","Occurred","Comments / Nature of Fire","Disposition","UCPDI#"
"1612","No Incident Reports this date - 7/19/15","No Incident Reports this date - 7/19/15","No Incident Reports this date - 7/19/15","No Incident Reports this date - 7/19/15","No Incident Reports this date - 7/19/15","No Incident Reports this date - 7/19/15","No Incident Reports this date - 7/19/15"
"1613","Void","Void","Void","Void","Number generated in error","Void","E00451"
"1614","Theft","5850 S. Kenwood","7/20/15 1:12 PM","7/17/15 to 7/20/15 1:30 PM to 5:00 AM","Power saw taken from gang box in fenced construction area / Follow-up investigation revealed another company employee borrowed the saw for another job  / No crime occurred","Unfounded","E00452"
"1615","Theft","929 E. 57th St. (Gordon Center)","7/20/15 2:53 PM","7/20/15 2:50 PM to 2:53 PM","Cell phone left unattended on window sill in 2nd floor room taken by an unknown person","Open","E00453"
"1616","Possession of Narcotics","901 E. 58th St. (Mitchell ER)","7/21/15 8:36 PM","7/21/15 8:36 PM","Staff member found a package of heroin in possession of critically ill patient while being admitted / Narcotics turned over to UCPD for disposal / No charges due to patient's medical condition","Closed","E00454"
"1617","Injured Person","821 E. 55th St. (Stagg Field)","7/21/15 7:02 PM","7/21/15 7:00 PM","Individual struck his head on goal post while playing soccer / Transported to ER by CFD EMS for evaluation and treatment","Closed","E00455"
"1618","No Incident Reports this date - 7/22/15","No Incident Reports this date - 7/22/15","No Incident Reports this date - 7/22/15","No Incident Reports this date - 7/22/15","No Incident Reports this date - 7/22/15","No Incident Reports this date - 7/22/15","No Incident Reports this date - 7/22/15"
"1619","Information / Robbery","Kimbark between 55th & 56th","7/23/15 12:30 AM","7/23/15 12:05 AM","Unknown suspect took property from a victim entering a private apartment building off campus / Victim reported no injuries / CPD report","CPD",""
"1620","Assist Other Agency / Missing Person","Drexel between 53rd & 54th","7/23/15 1:15 PM","7/23/15 1:15 PM","UCPD officers located an individual who had been reported missing to CPD / Individual turned over to CPD / CPD HY349533","CPD","E00456"
"1621","Theft","5700 S. Maryland (CCD)","7/24/15 2:47 PM","6/18/15 to 7/24/15 12:00 PM to 1:30 PM","Unknown person took physician's prescription pad","Open","E00457"
"1622","Injured Person","5630 S. University (Max Palevsky RH)","7/24/15 5:55 PM","7/24/15 5:50 PM","Individual jumping on bed fell and struck head on window sill causing laceration to scalp / Transported to Comer ER for evaluation and treatment","Closed","E00458"
"1623","Information","54th & Ridgewood","7/25/15 12:50 AM","7/25/15 12:30 AM","Unknown suspect asked victim for money / Suspect took cash and fled / Complainant refused police report","",""
"1624","Information","54th & Kenwood (Nichols Park)","7/25/15 12:50 AM","7/25/15 12:45 AM","Unknown suspect struck victim in the face and asked for his wallet / Both suspect and victim fled in opposite directions / No property taken / Victim refused medical assistance and declined to file a police report","",""
"1625","Liquor Law Violation","5410 S. University (Public Way)","7/25/15 1:49 AM","7/25/15 1:49 AM","Underage individual causing a disturbance on the public way / Injured right arm after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment","Referred","E00459"
"1626","Lost Property","5815 S. Maryland (Mitchell Hospital)","7/25/15 9:41 AM","7/23/15 8:30 AM to 11:00 AM","Patient left cell phone unattended on bed before being taken from the room / Telephone missing / Possibly lost when bedding was changed","Closed","E00460"
"1627","Fire","1101 E. 57th St. (Quad)","7/25/15 11:01 AM","7/25/15 11:01 AM","Trash receptacle smoldering in the Quadrangle / CFD extinguished fire / No property damage or personal injury reported / Cause unknown","Closed","E00461"
"1628","Theft","5721 S. Maryland (Comer Hospital)","7/26/15 2:55 PM","7/25/15 6:10 AM to 6:45 AM","Unattended, unsecured back pack taken from pharmacy locker room F2429 / Property was located in the room and returned to owner intact","Unfounded","E00462"
"1629","Burglary","1362 E. 59th St. (Lab School Caf<e9>)","7/27/15 6:45 AM","7/24/15 to 7/27/15 2:10 PM to 6:07 AM","Cash taken from safe in storage room of café","Open","E00463"
"1630","Theft","5800 S. Stony Island (Shapiro Hall)","7/27/15 10:25 AM","7/24/15 to 7/27/15 3:30 PM to 7:15 AM","Inflatable swimming pool taken from patio area","Open","E00464"
"1631","Theft","5823 S. Kenwood (Lab School - Sunny Gym)","7/27/15 11:15 AM","7/24/15 5:15 PM to 5:25 PM","Wallet taken from unattended, unsecured purse left in stairwell / Suspect positively identiifed thru follow up investigation / Victim declined to prosecute","Ex. Cleared","E00465"
"1632","Theft","1025 E. 58th St. (Swift Hall)","7/27/15 1:22 PM","6/13/15 to 7/5/15 4:00 PM to 12:00 PM","Checks taken from checkbook left in desk drawer","Open","E00466"
"1633","Theft","1131 E. 57th St. (Hutchinson Hall)","7/27/15 2:08 PM","7/27/15 1:20 PM to 1:40 PM","Wallet taken from table top in dining hall","Open","E00467"
"1634","Found Property","901 E. 58th St. (Mitchell ER)","7/28/15 8:22 AM","7/28/15 8:22 AM","Staff member found 4 rounds of .38 cal. ammunition among patient's belongings / Turned over to UCPD and inventoried for safekeeping","Closed","E00468"
"1635","Theft","929 E. 57th St. (Gordon Center Bike Rack)","7/28/15 5:05 PM","7/28/15 2:00 PM to 5:00 PM","Secured bicycle taken from bike rack","Open","E00469"
"1636","Theft","5730 S. Ellis (Crerar Bike Rack)","7/28/15 7:10 PM","7/28/15 9:00 AM to 6:45 PM","Secured bicycle taken from bike rack","Open","E00470"
"1637","Recovered Motor Vehicle","47th & Woodlawn","7/28/15 8:08 PM","7/28/15 8:08 PM","UCPD officer observed car reported stolen to Chicago police in possession of suspect in gas station / Suspect fled on foot but was apprehended by UCPD officers after a foot chase / Suspect charged with felony possession of stolen motor vehicle / CPD HY359046","Arrest","E00471"
"1638","Found Property","1212 E. 59th St. (Ida Noyes)","7/29/15 2:35 PM","7/28/15 10:35 PM","Staff member found unattended laptop computer in common area / Turned item over to UCPD after no one reported a missing computer / Inventoried for safekeeping at UCPD","Closed","E00472"
"1639","Theft","970 E. 58th St. (Bookstore)","7/29/15 4:04 PM","7/29/15 4:04PM","Suspect arrested by UCPD after leaving bookstore without paying for 14 items of apparel found in his possession / Charged with felony theft","Arrest","E00473"
"1640","Injured Person","5300 S. Lake Park","7/29/15 11:48 PM","7/29/15 11:48 PM","U.C. contract employee suffered laceration to hand while on duty / Transported to ER by supervisor for evaluation and treatment","Closed","E00474"
"1641","Theft","929 E. 57th St. (Gordon Center)","7/30/15 12:09 PM","7/30/15 10:00 AM to 12:00 PM","Unattended and unsecured laptop and cell phone taken from desks in Lab E333","Open","E00475"
"1642","No Incident Reports this date - 7/31/15","No Incident Reports this date - 7/31/15","No Incident Reports this date - 7/31/15","No Incident Reports this date - 7/31/15","No Incident Reports this date - 7/31/15","No Incident Reports this date - 7/31/15","No Incident Reports this date - 7/31/15"
"1643","Recovered Motor Vehicle","57th & Shore Dr.","8/1/15 5:46 PM","8/1/15 5:46 PM","UCPD officers recovered a car after four suspects abandoned vehicle / Vehicle had been previously reported stolen to CPD / CPD case HY362888","CPD","E00476"
"1644","Lost Property","5815 S. Maryland (Mitchell Hospital)","8/2/15 6:47 AM","7/24/15 12:00 PM to 2:00 PM","Individual reported losing cell phone while a patient in the hospital","Closed","E00477"
"1645","Assist Other Agency / Robbery","5300 S. Greenwood","8/2/15 9:23 PM","8/2/15 9:23 PM","A suspect riding a bicycle off campus pushed victim to the ground, took cell phone and fled / UCPD officers detained suspect and recovered the victim's phone / Suspect turned over to CPD and charged with robbery / CPD case HY366595","CPD","E00478"
"1646","Lost Property","Unknown","8/3/15 11:09 AM","7/17/15 to7/28/15 12:00 PM to 9:00 AM","Individual reported loss of wallet at unknown location over an extended period of time","Closed","E00479"
"1647","Theft","5835 S. Cottage Grove (Hospital Shipping/Receiving Dock)","8/3/15 12:36 PM","7/17/15 to 7/22/15 8:50 AM to 1:00 PM","A package containing an ultrasound probe taken from secured shipping dock / Package located / No theft occurred","Unfounded","E00480"
"1648","Theft","5840 S. Kenwood (Construction Site)","8/3/15 2:19 PM","8/1/15 to 8/3/15 5:30 PM to 1:30 PM","Unknown person(s) took welding machine and copper cables from construction site","Open","E00481"
"1649","Information","5700 S. Maryland (CCD Starbucks Caf<e9>)","8/3/15 3:19 PM","8/3/15 3:10 PM","Individual attempted to pay for item with a counterfeit $100 bill / Suspect fled before police were called / Bill inventoried","Closed","E00482"
"1650","Found Property","1111 E. 60th St. (Public Way)","8/3/15 5:15 PM","8/2/15 4:50 PM","Individual found yellow metal ring with clear stone / Turned over to UCPD for safekeeping","Closed","E00484"
"1651","Theft","5530 S. Ellis (Ratner A.C.)","8/3/15 4:56 PM","7/28/15 to 8/3/15 5:00 PM to 4:30 PM","Three T-shirts and a pair of gym shoes taken from unsecured locker in men's locker room","Open","E00483"
"1652","Theft","5720 S. Ellis (Kersten Center Bike Rack)","8/5/15 10:03 AM","8/4/15 8:00 AM to 4:00 PM","Bicycle taken from bike rack","Open","E00485"
"1653","Theft from Person","5758 S. Maryland (DCAM)","8/5/15 2:23 PM","8/5/15 2:10 PM","While on an elevator an unknown suspect took wallet from victim's purse while a second suspect distracted victim","Open","E00486"
"1654","Found Property","5815 S. Maryland (Mitchell Hospital)","8/6/15 4:39 PM","8/6/15 4:10 PM","After patient left hospital, staff found 5 syringes and a drug pipe / All items disposed of properly by UCPD","Closed","E00487"
"1655","Unlawful Use of Weapon","5300 S. Harper (Public Way)","8/7/15 12:36 AM","8/7/15 12:36 AM","UCPD officers responded to a call of a man with a handgun on the street off campus / Officers located the suspect who fled on foot / Suspect taken into custody by UCPD / Weapon recovered / Suspect charged with felony UUW","Arrest","E00488"
"1656","Motor Vehicle Theft","1317 E. Madison Park","8/7/15 5:52 PM","8/6/15 to 8/7/15 8:00 PM to 5:30 PM","Vehicle parked on the street off campus taken by person(s) unknown","Open","E00489"
"1657","Theft","1100 E. 57th St. (Regenstein Library Bike Rack)","8/7/15 6:49 PM","8/7/15 8:45 AM to 6:00 PM","Bicycle seat taken from bicycle secured to bike rack","Open","E00490"
"1658","Theft","5812 S. Ellis (Surgery Brain Research Bike Rack)","8/7/15 7:54 PM","8/7/15 10:30 AM to 6:40 PM","Secured bicycle taken from bike rack","Open","E00491"
"1659","Information / Aggravated Battery","Drexel between 53rd & 54th (Public Way)","8/7/15 11:07 PM","8/7/15 11:05 PM","Individual not affiliated with the University suffered a gunshot wound to the right arm as a result of a drive by shooting off campus / Transported to ER by CFD EMS / CPD case","CPD",""
"1660","No Incident Reports this date - 8/8/15","No Incident Reports this date - 8/8/15","No Incident Reports this date - 8/8/15","No Incident Reports this date - 8/8/15","No Incident Reports this date - 8/8/15","No Incident Reports this date - 8/8/15","No Incident Reports this date - 8/8/15"
"1661","Theft","5700 S. Maryland (CCD)","8/9/15 7:31 PM","8/9/15 6:45 AM to 7:15 PM","Cash and credit card taken from purse left on hook in secured staff breakroom / Unauthorized use of credit card reported","Open","E00492"
"1662","Theft","1100 E. 61st St. (Construction Site)","8/10/15 6:56 AM","8/6/15 to 8/10/15 5:15 PM to 6:30 AM","Unknown person(s) cut hole in fence, entered construction site and took a variety of construction tools from a secured trailer","Open","E00493"
"1663","Motor Vehicle Theft","6025 S. Ellis","8/10/15 10:42 AM","8/8/15 to 8/10/15 9:00 AM to 11:00 AM","Six-seat golf cart taken from area in front of Cathey Dining Hall / UCPD officers arrested suspect in possession of cart at 1210 E. 62nd St. on 8/25/15 / Charged with Possession of Stolen Motor Vehicle","Arrest","E00494"
"1664","Information / Armed Robbery","Hyde Park between 52nd and 53rd","8/11/15 1:00 AM","8/11/15 12:45 AM","Three unknown suspects, one armed with a handgun, took property from two victims standing on the sidewalk off campus / No injuries reported / CPD case HY377516","CPD",""
"1665","Lost Property","5835 S. Kimbark (Lab School)","8/11/15 8:28 AM","7/31/15 to 8/11/15 4:30 PM to 8:25 AM","Individual reports losing UC ID","Closed","E00495"
"1666","Theft","915 E. 60th St. (Logan Center)","8/11/15 12:10 PM","8/10/15 to 8/11/15 5:15 PM to 10:45 AM","A pair of head phones taken from exhibit on the 2nd floor / Staff located the headphones that had been moved to another location within the building / No crime occurred","Unfounded","E00496"
"1667","Void","Void","Void","Void","Number generated in error","Void","E00497"
"1668","Non-Criminal Damage to Property","5757 S. University (Saieh Hall)","8/12/15 2:15 PM","8/12/15 2:05 PM","Interior glass door in lobby shattered as individual opened door / No injury reported","Closed","E00498"
"1669","Information","5815 S. Maryland (Mitchell Hospital)","8/12/15 1:41 PM","8/12/15 1:40 PM","Narcotics paraphernalia found in patient's room / Items inventoried by UCPD for proper disposal","Closed","E00499"
"1670","Void","Void","Void","Void","Number generated in error","Void","E00500"
"1671","Information /Harassment by Telephone","6000 S. Drexel","8/12/15 4:53 PM","6/30/15 to 8/12/15 Various","Individual reports receipt of harassing text messages on various dates and times","Closed","E00501"
"1672","Theft","5530 S. Ellis (Ratner Bike Rack)","8/12/15 10:13 PM","8/11/15 to 8/12/15 8:00 PM to 8:30 PM","Rear wheel taken from bicycle secured to bike rack","Open","E00502"
"1673","Found Property","1550 E. 53rd St.(Public Way)","8/13/15 5:10 PM","8/13/15 5:10 PM","Found wallet turned over to UCPD and inventoried for safekeeping","Closed","E00503"
"1674","Theft","901 E. 58th St. (Mitchell ER)","8/13/15 8:04 PM","8/13/15 6:30 PM to 7:30 PM","Unattended, unsecured laptop taken from bag in triage area","Open","E00504"
"1675","Theft","900 E. 57th St. (Knapp Center Bike Rack)","8/14/15 12:23 PM","8/13/15 10:00 AM to 6:45 PM","Secured bicycle taken from bike rack","Open","E00505"
"1676","Information / Aggravated Battery","Kimbark between 61st and 62nd","8/14/15 7:32 PM","8/14/15 7:30 PM","Three victims, not affiliated with the University, wounded during a drive by shooting off campus / Transported to hospitals by CFD EMS / CPD case","CPD",""
