"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured Start Date","Occured End Date","Occured Start Time","Occured End Time"
"1674","Lost Property","901 E. 58th St. ","Mitchell ER","9/26/15","11:25","Individual reported losing purse while in ER","Closed","E00594","9/25/15","9/26/15","20:20","10:30"
"1675","Information","5700 S. Maryland ","CCD","9/26/15","15:04","Staff member reported being inappropriately touched on the side by a patient while being treated but did not want to place charges","Closed","E00595","9/26/15",NA,"14:20",NA
"1676","Theft","929 E. 57th St.","Gordon Center Bike Rack","9/26/15","23:09","Secured bicycle taken from bike rack","Open","E00596","9/26/15",NA,"20:30","22:30"
"1677","Armed Robbery","815 E. 59th St. ","Public Way","9/27/15","00:05","Four unknown suspects, one armed with a handgun, took property from a victim walking on the sidewalk / The victim reported no injuries","Open","E00597","9/27/15",NA,"00:00",NA
"1678","Theft","1158 E. 58th St. ","Oriental Institute Bike Rack","9/28/15","08:21","Secured bicycle taken from bike rack","Open","E00598","9/27/15",NA,"17:40","19:15"
"1679","Information / Traffic Crash","5505 S. Ellis ","Public Way","9/28/15","08:41","UC owned vehicle parked at the curb was sideswiped by a passing vehicle / No injuries reported / MVA00418","Closed","E00599","9/28/15",NA,"08:41",NA
"1680","Damage to Property","5757 S. University ","Saieh Hall","9/28/15","11:30","Letters on building signage near the south entrance were loosened / Cause unknown at this time","Closed","E00600","9/25/15","9/28/15","16:35","08:00"
"1681","Theft","929 E. 57th St. Gordon Center ","Bike Rack","9/28/15","14:51","Secured bicycle taken from bike rack","Open","E00602","9/25/15","9/28/15","09:00","11:00"
"1682","Criminal Damage to Property","5807 S. Woodlawn ","Booth School","9/28/15","14:51","Unknown person(s) removed two 10"" metal letters from a sign on the northwest corner of the building","Open","E00603","9/23/15","9/25/15","09:00","21:30"
"1683","Theft","6031 S. Ellis ","Granville-Grossman RH","9/28/15","14:50","Secured bicycle taken from bike rack / Complainant found he had secured bicycle to bike rack at another location / Incident Unfounded","Unfounded","E00604","9/26/15","9/27/15","22:00","07:00"
"1684","Found Property","1050 E. 59th St. ","Wieboldt Hall","9/28/15","17:47","Unattended back pack found in the building / Turned over to UCPD for safekeeping","Closed","E00605","9/28/15",NA,"09:00",NA
"1685","Lost Property","5706 S. University ","Reynolds Club","9/28/15","23:42","Individual reports losing iPhone while in the Reynolds Club","Closed","E00606","9/28/15",NA,"18:45","19:30"
"1686","Information / Hit & Run / Personal Injury","5700 S. Maryland ","Public Way","9/29/15","09:19","Vehicle struck pedestrian in roadway and drove off without stopping / Victim taken to ER for evaluation and treatment / CPD case HY442790","CPD","E00607","9/29/15",NA,"09:15",NA
"1687","Theft","5848 S. University ","Kelly Hall","9/29/15","12:15","Unattended laptop computer taken from unsecured second floor room","Open","E00608","9/29/15",NA,"11:50","12:00"
"1688","Theft","5640 S. Ellis ","Eckhardt Research Center","9/29/15","22:54","Laptop computer and credit cards taken from bag left unattended and unsecured in shared room / Unauthorized use of credit cards reported","Open","E00610","9/29/15",NA,"10:30","18:20"
"1689","Assist Other Agency / Armed Robbery","5635 S. Kimbark ","Public Way","9/29/15","21:43","Two suspects, one armed with a handgun, took property from a victim walking on the sidewalk off-campus / UCPD officers detained two suspects in possession of a replica handgunand the victim's property / Suspects turned over to and arrested by CPD, charged with armed robbery / Victim reported no injuries / CPD case HY443656","CPD / Arrest","E00611","9/29/15",NA,"21:30",NA
"1690","Burglary","1108 E. 53rd St. ","Neighborhood Apts.","9/30/15","10:56","Unknown person(s) forced entry via basement door and took tools","Open","E00612","9/29/15","9/30/15","11:00","10:45"
"1691","Information","1307 E. 60th St. ","New Graduate RH","9/30/15","13:10","Ill person transported to ER by CFD EMS for evaluation and treatment","Closed","E00613","9/30/15",NA,"13:10",NA
"1692","Theft","970 E. 58th St. ","Bookstore","10/1/15","10:52","Individual was seen taking 10 medical books and placing them into a large bag before fleeing from the store without paying","Open","E00614","10/1/15",NA,"10:40","10:50"
"1693","Theft","5841 S. Maryland ","Wyler Hospital","10/1/15","14:51","Cash taken from envelope in unsecured desk drawer in shared office","Open","E00615","9/1/15","10/1/15","09:00","14:50"
"1694","Theft","1414 E. 59th St. ","I-House","10/1/15","15:55","Unknown person broke lock on printer in room 056 and removed paper from trays","Open","E00616","9/30/15",NA,"12:00","20:20"
"1695","Theft","5640 S. University ","Bartlett Commons","10/2/15","22:02","Unattended, unsecured backpack taken from dining hall / Unauthorized attempt to use credit card subsequently reported / Complainant filed a report with the Chicago Police Dept. case Hy447636 / This incident is therefore unfounded","Unfounded","E00617","10/2/15",NA,"19:00","21:15"
"1696","Information / Medical Call","5125 S. Kenwood ","Chicago Arms Apts.","10/3/15","06:13","Injured person transported to ER by CFD EMS for evaluation and treatment / CPD case HY447758","CPD","E00618","10/3/15",NA,"03:00",NA
"1697","Battery / Domestic","55th St. at Woodlawn ","Public Way","10/3/15","16:09","Male subject struck girlfriend in the face with his fist off-campus / Arrested by UCPD officer","Arrest","E00619","10/3/15",NA,"16:09",NA
"1698","Criminal Damage to Property","5807 S. Woodlawn ","Booth School","10/3/15","18:47","Unknown person(s) removed four 10"" metal letters from sign on northwest exterior wall of the building","Open","E00620","10/3/15",NA,"18:30",NA
"1699","Battery","901 E. 58th St. ","Mitchell ER","10/3/15","23:56","Visitor struck patient in the face with his fist during the course of a verbal argument / Suspect arrested by UCPD officers","Arrest","E00621","10/3/15",NA,"23:56",NA
"1700","Information","5730 S. Drexel",NA,"10/4/15","20:06","Information relating to a suspicious telephone call received by a staff member","Closed","E00622","10/4/15",NA,"19:45",NA
"1701","Medical Call","6031 S. Ellis ","Granville-Grossman RH","10/4/15","20:40","Ill person transported to ER by CFD EMS for evaluation and treatment","Closed","E00624","10/4/15",NA,"20:40",NA
"1702","Information","Blackstone between 57th & 58th",NA,"10/4/15","21:31","Call regarding a person who may be in need of medical treatment / CPD also advised","Closed","E00625","10/4/15",NA,"21:31",NA
"1703","Lost Property","901 E. 58th St.",NA,"10/5/15","05:13","Staff member reports lost vehicle keys","Closed","E00626","10/3/15","10/4/15","23:55","00:00"
"1704","Information / Attempted Robbery / Vehicle Hijacking","Blackstone between 54th & 55th",NA,"10/5/15","10:10","Unknown suspect attempted to forcibly take victim's car and other property on the street off-campus / Suspect fled when victim called for help / CPD case HY450134","CPD","","10/5/15",NA,"10:00",NA
"1705","Information","5721 S. Maryland ","Comer Hospital","10/5/15","10:50","Report of suspicious calls received by staff","Closed","E00627","10/4/15","10/5/15","18:00","10:25"
"1706","Theft","5640 S. Ellis ","Eckhardt Research Center","10/5/15","15:59","Wallet taken from unattended purse left in unsecured office / Subsequent unauthorized use of credit card reported","Open","E00628","10/5/15",NA,"07:15","12:30"
"1707","Assist Other Agency / Aggravated Robbery / Vehicle Hijacking","1224 E. Midway Pl.",NA,"10/5/15","12:15","Victim, sitting in vehicle, approached by suspect who took keys and other property from victim before forcing victim from vehicle / UCPD officer arrived and detained suspect before he could drive off / Suspect turned over to CPD and charged with robbery / CPD investigation HY450349","CPD / Arrest","E00629","10/5/15",NA,"12:13",NA
"1708","Information","1160 E. 58th St. ","Saieh Hall","10/6/15","08:57","Painting found on the exterior steps of the building was inventoried at UCPD HQ for safekeeping","Closed","E00630","10/6/15",NA,"08:57",NA
"1709","Found Property","5710 S. Woodlawn",NA,"10/7/15","10:39","Painting found on front lawn / Turned over to UCPD and inventoried for safekeeping","Closed","E00632","10/6/15",NA,"07:30",NA
"1710","Mental Health Transport","5758 S. Maryland ","Public Way","10/7/15","11:40","Disturbed individual transported to hospital for evaluation and treatment","Closed","E00633","10/7/15",NA,"11:40",NA
"1711","Found Property","5500 S. Drexel ","Public Way","10/7/15","19:20","Individual found wallet on the public way and turned it over to UCPD / Inventoried for safekeeping","Closed","E00634","10/7/15",NA,"20:45",NA
"1712","Mental Health Transport","61st and Kimbark",NA,"10/7/15","21:12","Individual transported to hospital for evaluation and treatment","Closed","E00635","10/7/15",NA,"21:12",NA
"1713","Theft","1100 E. 57th St. ","Regenstein Library","10/8/15","14:44","Unattended, unsecured head phones taken from 3rd floor cubicle","Open","E00636","10/8/15",NA,"14:40","14:43"
"1714","Theft","5530 S. Ellis ","Ratner A.C.","10/8/15","16:43","i-Pad taken from book bag left in unsecured locker in varsity locker room","Open","E00637","10/8/15",NA,"07:00","08:45"
"1715","Information","E. 50th St. near Cornell",NA,"10/8/15","14:14","Subsequent to a well-being check, ill person transported to ER for evaluation and treatment","Closed","E00638","10/8/15",NA,"19:50",NA
"1716","Medical Call","5811 S. Ellis ","Cobb Hall","10/8/15","21:09","Ill person transported to ER by CFD EMS","Closed","E00639","10/8/15",NA,"21:09",NA
"1717","Lost Property","1005 E. 60th St. ","Burton-Judson RH","10/8/15","22:02","Individual reports losing wallet somewhere on campus","Closed","E00640","10/8/15",NA,"15:30","21:00"
"1718","Information","1155 E. 60th St. ","Harris School","10/9/15","15:13","Information relating to a person who indicated they may have, or felt the need to, possess a firearm","Open","E00641","10/9/15",NA,"12:00",NA
"1719","Lost Property","5815 S. Maryland ","Mitchell Hospital","10/9/15","15:25","Unattended iPhone left in patient's bed missing after room was cleaned and bedding changed","Closed","E00642","10/9/15",NA,"09:15","12:00"
"1720","Injured Person","1009 E. 57th St. ","Hitchcock RH","10/9/15","17:05","Wood splinter from pool table lacerated right leg of individual / Transported to ER by CFD EMS","Closed","E00643","10/9/15",NA,"17:00",NA
"1721","Mental Health Transport","Kimbark between 57th & 58th",NA,"10/5/15","23:15","As a result of a well-being check, individual transported to hospital for evaluation and treatment","Closed","E00644","10/5/15",NA,"23:15",NA
"1722","Liquor Law Violation","1414 E. 59th St. ","I-House","10/10/15","01:54","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","E00645","10/10/15",NA,"01:54",NA
"1723","Information","5630 S. University ","Max Palevsky RH","10/10/15","02:42","Unauthorized individual attempted to enter residence hall following a group of residents / Subject cautioned about trespass and sent on his way","Closed","E00646","10/10/15",NA,"02:42",NA
"1724","Warrant Arrest","1449 E. 57th St. ","Public Way","10/10/15","17:25","UCPD officers arrested an individual wanted on a warrant from Lansing, IL","Arrest","E00647","10/10/15",NA,"17:25",NA
"1725","Lost Property","5700 S. Maryland ","CCD","10/10/15","17:02","Patient reports losing four rings while in examination area","Closed","E00648","10/9/15","10/10/15","11:00","14:00"
"1726","Theft","5550 S. University ","Crown Field House","10/11/15","00:01","Bicycle frame taken from bike rack leaving the front tire and lock secured to the rack","Open","E00649","10/6/15","10/10/15","20:00","23:45"
"1727","Theft","5530 S. Ellis ","Ratner A.C.","10/11/15","17:53","Unattended, unsecured iPhone taken from bleachers while owner played basketball","Open","E00650","10/11/15",NA,"16:30","17:20"
"1728","Information /Traffic Crash / Personal Injury","1120 E. Midway Pl.",NA,"10/11/15","18:23","Vehicle struck pedestrian walking in crosswalk / Victim transported to ER by CFD EMS / CPD case HY458199","CPD","E00651","10/11/15",NA,"18:20",NA
"1729","Liquor Law Violation","5630 S. University ","Max Palevsky RH","10/12/15","00:27","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","E00652","10/12/15",NA,"00:27",NA
"1730","Information / Traffic Crash","6054 S. Drexel ","Parking Structure","10/12/15","14:31","UC owned vehicle involved in traffic crash / Property damage only / No injuries reported / MVA00423","Closed","E00653","10/12/15",NA,"14:31",NA
"1731","Theft","929 E, 57th St. ","Gordon Center Bike Rack","10/12/15","20:13","Secured bicycle taken from bike rack","Open","E00654","10/12/15",NA,"09:30","19:30"
"1732","Theft","940 E. 57th St. ","BSLC Bike Rack","10/12/15","22:35","Secured bicycle taken from bike rack","Open","E00655","10/12/15",NA,"20:00","22:30"
"1733","Fire","5310 S. Harper ","Unoccupied Residence","10/12/15","17:38","Plastic milk crate under the rear porch was burning / Flames extinguished by occupant of nearby property / Cause unknown at this time / No other property damage and no personal injury resulted","Open","E00656","10/12/15",NA,"17:38",NA
"1734","Information","947 E. 58th St. ","Abbot Hall","10/13/15","13:32","Water line burst in 3rd floor closet / CFD and UCM Plant Engineer on the scene","Closed","E00657","10/13/15",NA,"13:32",NA
"1735","Lost Property","1100 E. 57th St. ","Regenstein Library","10/13/15","14:52","Individual reports losing wallet somewhere on campus between 1414 E. 59th St. and 1100 E. 57th St.","Closed","E00658","10/13/15",NA,"10:30","14:50"
"1736","Lost Property","1100 E. 57th St. ","Shuttle Bus","10/13/15","19:54","Individual reports losing cell phone while on shuttle bus","Closed","E00659","10/13/15",NA,"18:45","19:05"
